game_code,Date,attendance,season
200910270CLE,27/10/2009,20562,2009-10
200910270DAL,27/10/2009,19871,2009-10
200910270POR,27/10/2009,20403,2009-10
200910270LAL,27/10/2009,18997,2009-10
200910280ATL,28/10/2009,17998,2009-10
200910280ORL,28/10/2009,17461,2009-10
200910280TOR,28/10/2009,20152,2009-10
200910280BOS,28/10/2009,18624,2009-10
200910280MIA,28/10/2009,19600,2009-10
200910280SAS,28/10/2009,18581,2009-10
200910280OKC,28/10/2009,18203,2009-10
200910280MIN,28/10/2009,18358,2009-10
200910280MEM,28/10/2009,17212,2009-10
200910280LAC,28/10/2009,15974,2009-10
200910280GSW,28/10/2009,19596,2009-10
200910280DEN,28/10/2009,19155,2009-10
200910290CHI,29/10/2009,21412,2009-10
200910290POR,29/10/2009,20218,2009-10
200910300CHA,30/10/2009,18624,2009-10
200910300PHI,30/10/2009,14638,2009-10
200910300ATL,30/10/2009,17079,2009-10
200910300NOH,30/10/2009,17306,2009-10
200910300NJN,30/10/2009,17525,2009-10
200910300MIN,30/10/2009,19356,2009-10
200910300MEM,30/10/2009,10563,2009-10
200910300IND,30/10/2009,18165,2009-10
200910300DET,30/10/2009,22076,2009-10
200910300BOS,30/10/2009,18624,2009-10
200910300UTA,30/10/2009,19911,2009-10
200910300PHO,30/10/2009,18422,2009-10
200910300LAL,30/10/2009,18997,2009-10
200910310WAS,31/10/2009,20173,2009-10
200910310NYK,31/10/2009,19763,2009-10
200910310CLE,31/10/2009,20562,2009-10
200910310HOU,31/10/2009,18100,2009-10
200910310MIL,31/10/2009,15095,2009-10
200910310SAS,31/10/2009,16966,2009-10
200910310LAC,31/10/2009,13626,2009-10
200911010TOR,01/11/2009,18147,2009-10
200911010BOS,01/11/2009,18624,2009-10
200911010MIA,01/11/2009,15865,2009-10
200911010OKC,01/11/2009,16920,2009-10
200911010DEN,01/11/2009,15823,2009-10
200911010PHO,01/11/2009,15376,2009-10
200911010LAL,01/11/2009,18997,2009-10
200911020CHA,02/11/2009,9380,2009-10
200911020NYK,02/11/2009,19763,2009-10
200911020UTA,02/11/2009,19911,2009-10
200911020SAC,02/11/2009,17317,2009-10
200911020LAC,02/11/2009,13614,2009-10
200911030CLE,03/11/2009,20562,2009-10
200911030IND,03/11/2009,10627,2009-10
200911030PHI,03/11/2009,11251,2009-10
200911030DET,03/11/2009,15487,2009-10
200911030MIA,03/11/2009,15105,2009-10
200911030CHI,03/11/2009,19789,2009-10
200911030OKC,03/11/2009,18203,2009-10
200911030DAL,03/11/2009,19725,2009-10
200911030POR,03/11/2009,20325,2009-10
200911040ORL,04/11/2009,17461,2009-10
200911040TOR,04/11/2009,17915,2009-10
200911040WAS,04/11/2009,17413,2009-10
200911040NJN,04/11/2009,15319,2009-10
200911040NYK,04/11/2009,19273,2009-10
200911040MIN,04/11/2009,19133,2009-10
200911040HOU,04/11/2009,18291,2009-10
200911040NOH,04/11/2009,13566,2009-10
200911040SAC,04/11/2009,11751,2009-10
200911040GSW,04/11/2009,17457,2009-10
200911050CLE,05/11/2009,20562,2009-10
200911050UTA,05/11/2009,19797,2009-10
200911060CHA,06/11/2009,15874,2009-10
200911060IND,06/11/2009,14556,2009-10
200911060ORL,06/11/2009,17461,2009-10
200911060PHI,06/11/2009,10054,2009-10
200911060BOS,06/11/2009,18624,2009-10
200911060MIA,06/11/2009,19600,2009-10
200911060MIN,06/11/2009,13758,2009-10
200911060NOH,06/11/2009,15010,2009-10
200911060NYK,06/11/2009,19763,2009-10
200911060HOU,06/11/2009,14911,2009-10
200911060GSW,06/11/2009,18788,2009-10
200911060LAL,06/11/2009,18997,2009-10
200911060POR,06/11/2009,20498,2009-10
200911070ATL,07/11/2009,17801,2009-10
200911070NJN,07/11/2009,16119,2009-10
200911070CHI,07/11/2009,21108,2009-10
200911070DAL,07/11/2009,19977,2009-10
200911070MIL,07/11/2009,15486,2009-10
200911070UTA,07/11/2009,18825,2009-10
200911070LAC,07/11/2009,15399,2009-10
200911080DET,08/11/2009,17187,2009-10
200911080WAS,08/11/2009,14143,2009-10
200911080OKC,08/11/2009,18203,2009-10
200911080POR,08/11/2009,20306,2009-10
200911080SAC,08/11/2009,10760,2009-10
200911080LAL,08/11/2009,18997,2009-10
200911090PHI,09/11/2009,10205,2009-10
200911090NYK,09/11/2009,19355,2009-10
200911090SAS,09/11/2009,17714,2009-10
200911090GSW,09/11/2009,15468,2009-10
200911090LAC,09/11/2009,14760,2009-10
200911100CHA,10/11/2009,13415,2009-10
200911100MIA,10/11/2009,15054,2009-10
200911100CHI,10/11/2009,21409,2009-10
200911100MEM,10/11/2009,10589,2009-10
200911100DAL,10/11/2009,19720,2009-10
200911100SAC,10/11/2009,10523,2009-10
200911110IND,11/11/2009,10682,2009-10
200911110TOR,11/11/2009,16310,2009-10
200911110BOS,11/11/2009,18624,2009-10
200911110DET,11/11/2009,15417,2009-10
200911110NJN,11/11/2009,10714,2009-10
200911110NYK,11/11/2009,19699,2009-10
200911110MIL,11/11/2009,12987,2009-10
200911110MIN,11/11/2009,13555,2009-10
200911110ORL,11/11/2009,17461,2009-10
200911110HOU,11/11/2009,17220,2009-10
200911110SAS,11/11/2009,18581,2009-10
200911110LAC,11/11/2009,14248,2009-10
200911110PHO,11/11/2009,16517,2009-10
200911120MIA,12/11/2009,19600,2009-10
200911120LAL,12/11/2009,18997,2009-10
200911130ORL,13/11/2009,17461,2009-10
200911130PHI,13/11/2009,10738,2009-10
200911130NYK,13/11/2009,19763,2009-10
200911130BOS,13/11/2009,18624,2009-10
200911130MIN,13/11/2009,12372,2009-10
200911130NOH,13/11/2009,14742,2009-10
200911130SAC,13/11/2009,11762,2009-10
200911130DEN,13/11/2009,19141,2009-10
200911130LAC,13/11/2009,15615,2009-10
200911140ATL,14/11/2009,18572,2009-10
200911140CHA,14/11/2009,15872,2009-10
200911140IND,14/11/2009,18165,2009-10
200911140WAS,14/11/2009,20173,2009-10
200911140CLE,14/11/2009,20562,2009-10
200911140MIA,14/11/2009,17124,2009-10
200911140CHI,14/11/2009,21837,2009-10
200911140MEM,14/11/2009,10019,2009-10
200911140MIL,14/11/2009,14978,2009-10
200911140SAS,14/11/2009,17947,2009-10
200911150DET,15/11/2009,18215,2009-10
200911150OKC,15/11/2009,17715,2009-10
200911150PHO,15/11/2009,16605,2009-10
200911150LAL,15/11/2009,18997,2009-10
200911160ATL,16/11/2009,12977,2009-10
200911160ORL,16/11/2009,17461,2009-10
200911160MIL,16/11/2009,13683,2009-10
200911170CLE,17/11/2009,20562,2009-10
200911170MIA,17/11/2009,14443,2009-10
200911170NJN,17/11/2009,11332,2009-10
200911170NOH,17/11/2009,13116,2009-10
200911170HOU,17/11/2009,16396,2009-10
200911170DEN,17/11/2009,16446,2009-10
200911170SAC,17/11/2009,12634,2009-10
200911170LAL,17/11/2009,18997,2009-10
200911180ATL,18/11/2009,18729,2009-10
200911180IND,18/11/2009,12258,2009-10
200911180ORL,18/11/2009,17461,2009-10
200911180PHI,18/11/2009,11585,2009-10
200911180WAS,18/11/2009,20173,2009-10
200911180BOS,18/11/2009,18624,2009-10
200911180MEM,18/11/2009,10012,2009-10
200911180MIL,18/11/2009,13479,2009-10
200911180MIN,18/11/2009,11137,2009-10
200911180UTA,18/11/2009,17879,2009-10
200911180DAL,18/11/2009,20110,2009-10
200911180POR,18/11/2009,20391,2009-10
200911190NOH,19/11/2009,14520,2009-10
200911190SAS,19/11/2009,17519,2009-10
200911190LAL,19/11/2009,18997,2009-10
200911200IND,20/11/2009,18165,2009-10
200911200PHI,20/11/2009,14269,2009-10
200911200TOR,20/11/2009,19800,2009-10
200911200ATL,20/11/2009,16674,2009-10
200911200BOS,20/11/2009,18624,2009-10
200911200OKC,20/11/2009,18203,2009-10
200911200DAL,20/11/2009,19871,2009-10
200911200MIL,20/11/2009,15578,2009-10
200911200GSW,20/11/2009,18630,2009-10
200911200LAC,20/11/2009,18155,2009-10
200911210NJN,21/11/2009,14050,2009-10
200911210CLE,21/11/2009,20562,2009-10
200911210MEM,21/11/2009,11209,2009-10
200911210NOH,21/11/2009,15933,2009-10
200911210HOU,21/11/2009,16202,2009-10
200911210SAS,21/11/2009,16888,2009-10
200911210DEN,21/11/2009,19359,2009-10
200911210UTA,21/11/2009,18355,2009-10
200911210POR,21/11/2009,20453,2009-10
200911220TOR,22/11/2009,17233,2009-10
200911220NYK,22/11/2009,19763,2009-10
200911220CHA,22/11/2009,14730,2009-10
200911220MIA,22/11/2009,16500,2009-10
200911220PHO,22/11/2009,18422,2009-10
200911220LAL,22/11/2009,18997,2009-10
200911230MEM,23/11/2009,10109,2009-10
200911230SAS,23/11/2009,17677,2009-10
200911230POR,23/11/2009,20383,2009-10
200911230LAC,23/11/2009,13815,2009-10
200911240TOR,24/11/2009,17136,2009-10
200911240WAS,24/11/2009,14485,2009-10
200911240DAL,24/11/2009,20008,2009-10
200911240DEN,24/11/2009,16307,2009-10
200911240UTA,24/11/2009,17937,2009-10
200911240LAL,24/11/2009,18997,2009-10
200911250CHA,25/11/2009,13689,2009-10
200911250IND,25/11/2009,12356,2009-10
200911250BOS,25/11/2009,18624,2009-10
200911250ORL,25/11/2009,17461,2009-10
200911250DET,25/11/2009,22076,2009-10
200911250MIN,25/11/2009,13101,2009-10
200911250NOH,25/11/2009,14315,2009-10
200911250HOU,25/11/2009,18157,2009-10
200911250SAS,25/11/2009,17606,2009-10
200911250PHO,25/11/2009,18284,2009-10
200911250POR,25/11/2009,20322,2009-10
200911250SAC,25/11/2009,11375,2009-10
200911260ATL,26/11/2009,19193,2009-10
200911260UTA,26/11/2009,18045,2009-10
200911270CHA,27/11/2009,19168,2009-10
200911270MIA,27/11/2009,17684,2009-10
200911270BOS,27/11/2009,18624,2009-10
200911270PHI,27/11/2009,12984,2009-10
200911270DET,27/11/2009,18954,2009-10
200911270IND,27/11/2009,16613,2009-10
200911270HOU,27/11/2009,18164,2009-10
200911270DEN,27/11/2009,19155,2009-10
200911270MIN,27/11/2009,18225,2009-10
200911270OKC,27/11/2009,18203,2009-10
200911270POR,27/11/2009,20540,2009-10
200911270SAC,27/11/2009,12725,2009-10
200911280WAS,28/11/2009,17311,2009-10
200911280CLE,28/11/2009,20562,2009-10
200911280MIL,28/11/2009,16128,2009-10
200911280UTA,28/11/2009,18051,2009-10
200911280GSW,28/11/2009,20001,2009-10
200911290DET,29/11/2009,15273,2009-10
200911290TOR,29/11/2009,17721,2009-10
200911290LAC,29/11/2009,14854,2009-10
200911290MIA,29/11/2009,18104,2009-10
200911290NYK,29/11/2009,18861,2009-10
200911290OKC,29/11/2009,18203,2009-10
200911290SAS,29/11/2009,17161,2009-10
200911290DEN,29/11/2009,15147,2009-10
200911290SAC,29/11/2009,11548,2009-10
200911290LAL,29/11/2009,18997,2009-10
200911300MIL,30/11/2009,13684,2009-10
200911300DAL,30/11/2009,19783,2009-10
200911300UTA,30/11/2009,18469,2009-10
200911300GSW,30/11/2009,16574,2009-10
200912010CHA,01/12/2009,15129,2009-10
200912010TOR,01/12/2009,15776,2009-10
200912010NYK,01/12/2009,19763,2009-10
200912010DEN,01/12/2009,14570,2009-10
200912010POR,01/12/2009,20417,2009-10
200912010LAL,01/12/2009,18997,2009-10
200912020ATL,02/12/2009,12272,2009-10
200912020CLE,02/12/2009,20562,2009-10
200912020ORL,02/12/2009,17461,2009-10
200912020WAS,02/12/2009,12272,2009-10
200912020NJN,02/12/2009,11689,2009-10
200912020CHI,02/12/2009,21523,2009-10
200912020MIN,02/12/2009,11408,2009-10
200912020OKC,02/12/2009,17332,2009-10
200912020SAC,02/12/2009,10021,2009-10
200912020LAC,02/12/2009,13836,2009-10
200912030SAS,03/12/2009,18581,2009-10
200912030DEN,03/12/2009,14998,2009-10
200912030GSW,03/12/2009,16432,2009-10
200912040WAS,04/12/2009,20173,2009-10
200912040ATL,04/12/2009,17165,2009-10
200912040CLE,04/12/2009,20562,2009-10
200912040DET,04/12/2009,16557,2009-10
200912040MEM,04/12/2009,13020,2009-10
200912040NJN,04/12/2009,12131,2009-10
200912040NOH,04/12/2009,14720,2009-10
200912040OKC,04/12/2009,18203,2009-10
200912040UTA,04/12/2009,19347,2009-10
200912040LAL,04/12/2009,18997,2009-10
200912050CHA,05/12/2009,13352,2009-10
200912050CHI,05/12/2009,20481,2009-10
200912050MIN,05/12/2009,18466,2009-10
200912050SAS,05/12/2009,17592,2009-10
200912050DAL,05/12/2009,19550,2009-10
200912050PHO,05/12/2009,17747,2009-10
200912050POR,05/12/2009,20555,2009-10
200912050GSW,05/12/2009,19054,2009-10
200912050LAC,05/12/2009,15305,2009-10
200912060NYK,06/12/2009,19602,2009-10
200912060MIL,06/12/2009,16625,2009-10
200912060DET,06/12/2009,14123,2009-10
200912060SAC,06/12/2009,13186,2009-10
200912060LAL,06/12/2009,18997,2009-10
200912070PHI,07/12/2009,20664,2009-10
200912070NYK,07/12/2009,19763,2009-10
200912070OKC,07/12/2009,17334,2009-10
200912070UTA,07/12/2009,17565,2009-10
200912080CHA,08/12/2009,14127,2009-10
200912080TOR,08/12/2009,15167,2009-10
200912080BOS,08/12/2009,18624,2009-10
200912080CHI,08/12/2009,17872,2009-10
200912080MEM,08/12/2009,16325,2009-10
200912080NOH,08/12/2009,13140,2009-10
200912080DAL,08/12/2009,19857,2009-10
200912080LAC,08/12/2009,16750,2009-10
200912090ATL,09/12/2009,16808,2009-10
200912090IND,09/12/2009,11487,2009-10
200912090PHI,09/12/2009,12136,2009-10
200912090NJN,09/12/2009,10005,2009-10
200912090MIL,09/12/2009,12637,2009-10
200912090MIN,09/12/2009,12056,2009-10
200912090HOU,09/12/2009,18200,2009-10
200912090SAS,09/12/2009,17353,2009-10
200912090LAL,09/12/2009,18997,2009-10
200912100DET,10/12/2009,17176,2009-10
200912100WAS,10/12/2009,20173,2009-10
200912100UTA,10/12/2009,18735,2009-10
200912110IND,11/12/2009,12175,2009-10
200912110PHI,11/12/2009,13991,2009-10
200912110TOR,11/12/2009,17032,2009-10
200912110MIA,11/12/2009,18703,2009-10
200912110CHI,11/12/2009,18803,2009-10
200912110CLE,11/12/2009,20562,2009-10
200912110MEM,11/12/2009,13048,2009-10
200912110NOH,11/12/2009,15569,2009-10
200912110SAS,11/12/2009,17508,2009-10
200912110LAL,11/12/2009,18997,2009-10
200912110PHO,11/12/2009,18216,2009-10
200912120WAS,12/12/2009,13172,2009-10
200912120DET,12/12/2009,16952,2009-10
200912120CHI,12/12/2009,21257,2009-10
200912120DAL,12/12/2009,20151,2009-10
200912120MIL,12/12/2009,15973,2009-10
200912120DEN,12/12/2009,19155,2009-10
200912120UTA,12/12/2009,19911,2009-10
200912120SAC,12/12/2009,11333,2009-10
200912130TOR,13/12/2009,17111,2009-10
200912130ATL,13/12/2009,14015,2009-10
200912130MIA,13/12/2009,14465,2009-10
200912130OKC,13/12/2009,18203,2009-10
200912130LAC,13/12/2009,16464,2009-10
200912140ORL,14/12/2009,17461,2009-10
200912140PHI,14/12/2009,12795,2009-10
200912140MEM,14/12/2009,14193,2009-10
200912140DAL,14/12/2009,19737,2009-10
200912140DEN,14/12/2009,16022,2009-10
200912140UTA,14/12/2009,18090,2009-10
200912140LAC,14/12/2009,14511,2009-10
200912150CHA,15/12/2009,13606,2009-10
200912150CLE,15/12/2009,20562,2009-10
200912150MIA,15/12/2009,15106,2009-10
200912150CHI,15/12/2009,21416,2009-10
200912150HOU,15/12/2009,14899,2009-10
200912150PHO,15/12/2009,17964,2009-10
200912150POR,15/12/2009,20588,2009-10
200912160ATL,16/12/2009,13013,2009-10
200912160IND,16/12/2009,11888,2009-10
200912160ORL,16/12/2009,17461,2009-10
200912160PHI,16/12/2009,19517,2009-10
200912160NJN,16/12/2009,11476,2009-10
200912160MIL,16/12/2009,16309,2009-10
200912160MIN,16/12/2009,12526,2009-10
200912160NOH,16/12/2009,13196,2009-10
200912160OKC,16/12/2009,18203,2009-10
200912160DEN,16/12/2009,15753,2009-10
200912160GSW,16/12/2009,17857,2009-10
200912160SAC,16/12/2009,16579,2009-10
200912170CHI,17/12/2009,19791,2009-10
200912170MIA,17/12/2009,18303,2009-10
200912170POR,17/12/2009,20559,2009-10
200912180TOR,18/12/2009,15901,2009-10
200912180ATL,18/12/2009,17501,2009-10
200912180BOS,18/12/2009,18624,2009-10
200912180CLE,18/12/2009,20562,2009-10
200912180MEM,18/12/2009,13217,2009-10
200912180MIN,18/12/2009,13144,2009-10
200912180NOH,18/12/2009,14453,2009-10
200912180NYK,18/12/2009,19763,2009-10
200912180OKC,18/12/2009,17774,2009-10
200912180DAL,18/12/2009,19890,2009-10
200912180GSW,18/12/2009,17423,2009-10
200912190CHA,19/12/2009,14963,2009-10
200912190ORL,19/12/2009,17461,2009-10
200912190PHI,19/12/2009,13752,2009-10
200912190CHI,19/12/2009,21381,2009-10
200912190NJN,19/12/2009,17190,2009-10
200912190HOU,19/12/2009,15095,2009-10
200912190MIL,19/12/2009,13745,2009-10
200912190SAS,19/12/2009,17075,2009-10
200912190PHO,19/12/2009,16811,2009-10
200912200TOR,20/12/2009,15790,2009-10
200912200MEM,20/12/2009,13385,2009-10
200912200BOS,20/12/2009,18624,2009-10
200912200DET,20/12/2009,22076,2009-10
200912200MIA,20/12/2009,16500,2009-10
200912200DAL,20/12/2009,20346,2009-10
200912200NYK,20/12/2009,18767,2009-10
200912210IND,21/12/2009,12836,2009-10
200912210ORL,21/12/2009,17461,2009-10
200912210CHI,21/12/2009,19631,2009-10
200912210SAS,21/12/2009,17451,2009-10
200912210PHO,21/12/2009,18221,2009-10
200912220CHA,22/12/2009,16864,2009-10
200912220WAS,22/12/2009,15435,2009-10
200912220BOS,22/12/2009,18624,2009-10
200912220NYK,22/12/2009,19763,2009-10
200912220MEM,22/12/2009,12827,2009-10
200912220MIN,22/12/2009,11271,2009-10
200912220DAL,22/12/2009,19863,2009-10
200912220HOU,22/12/2009,17128,2009-10
200912220LAL,22/12/2009,18997,2009-10
200912230ORL,23/12/2009,17461,2009-10
200912230DET,23/12/2009,19396,2009-10
200912230MIA,23/12/2009,19600,2009-10
200912230NJN,23/12/2009,10204,2009-10
200912230MIL,23/12/2009,13113,2009-10
200912230NOH,23/12/2009,14391,2009-10
200912230SAS,23/12/2009,18581,2009-10
200912230DEN,23/12/2009,19155,2009-10
200912230PHO,23/12/2009,15953,2009-10
200912230SAC,23/12/2009,16407,2009-10
200912250NYK,25/12/2009,19763,2009-10
200912250ORL,25/12/2009,17461,2009-10
200912250LAL,25/12/2009,18997,2009-10
200912250PHO,25/12/2009,16709,2009-10
200912250POR,25/12/2009,20664,2009-10
200912260DAL,26/12/2009,20195,2009-10
200912260IND,26/12/2009,15281,2009-10
200912260NJN,26/12/2009,13374,2009-10
200912260CHI,26/12/2009,22008,2009-10
200912260MIN,26/12/2009,16838,2009-10
200912260OKC,26/12/2009,17961,2009-10
200912260MIL,26/12/2009,14864,2009-10
200912260UTA,26/12/2009,19911,2009-10
200912260SAC,26/12/2009,17345,2009-10
200912260GSW,26/12/2009,19550,2009-10
200912270TOR,27/12/2009,19800,2009-10
200912270CLE,27/12/2009,20562,2009-10
200912270MIA,27/12/2009,19600,2009-10
200912270NYK,27/12/2009,19763,2009-10
200912270DEN,27/12/2009,19756,2009-10
200912270LAC,27/12/2009,19060,2009-10
200912280CHA,28/12/2009,15473,2009-10
200912280NJN,28/12/2009,15335,2009-10
200912280MEM,28/12/2009,14571,2009-10
200912280PHO,28/12/2009,18422,2009-10
200912280POR,28/12/2009,20640,2009-10
200912280SAC,28/12/2009,14548,2009-10
200912280GSW,28/12/2009,19259,2009-10
200912290ATL,29/12/2009,20150,2009-10
200912290WAS,29/12/2009,17152,2009-10
200912290DET,29/12/2009,22076,2009-10
200912290CHI,29/12/2009,21887,2009-10
200912290HOU,29/12/2009,18187,2009-10
200912290SAS,29/12/2009,18581,2009-10
200912290LAL,29/12/2009,18997,2009-10
200912300CLE,30/12/2009,20562,2009-10
200912300IND,30/12/2009,14741,2009-10
200912300ORL,30/12/2009,17461,2009-10
200912300TOR,30/12/2009,18979,2009-10
200912300NJN,30/12/2009,17575,2009-10
200912300MIN,30/12/2009,14123,2009-10
200912300NOH,30/12/2009,17301,2009-10
200912300PHO,30/12/2009,18422,2009-10
200912300POR,30/12/2009,20505,2009-10
200912300SAC,30/12/2009,13156,2009-10
200912310DET,31/12/2009,22076,2009-10
200912310HOU,31/12/2009,18306,2009-10
200912310SAS,31/12/2009,18581,2009-10
200912310OKC,31/12/2009,18203,2009-10
200912310LAC,31/12/2009,15257,2009-10
201001010ATL,01/01/2010,17366,2009-10
201001010MIN,01/01/2010,17065,2009-10
201001010LAL,01/01/2010,18997,2009-10
201001020NJN,02/01/2010,17569,2009-10
201001020MIA,02/01/2010,17856,2009-10
201001020IND,02/01/2010,12685,2009-10
201001020WAS,02/01/2010,19025,2009-10
201001020BOS,02/01/2010,18624,2009-10
201001020CHI,02/01/2010,21162,2009-10
201001020NOH,02/01/2010,16020,2009-10
201001020MIL,02/01/2010,15264,2009-10
201001020PHO,02/01/2010,17135,2009-10
201001020UTA,02/01/2010,19911,2009-10
201001020POR,02/01/2010,20507,2009-10
201001020SAC,02/01/2010,14294,2009-10
201001030CLE,03/01/2010,20562,2009-10
201001030NYK,03/01/2010,19763,2009-10
201001030TOR,03/01/2010,18323,2009-10
201001030DEN,03/01/2010,19155,2009-10
201001030LAL,03/01/2010,18997,2009-10
201001040MIA,04/01/2010,16500,2009-10
201001040CHI,04/01/2010,18838,2009-10
201001040UTA,04/01/2010,19911,2009-10
201001040LAC,04/01/2010,15104,2009-10
201001050CHA,05/01/2010,13749,2009-10
201001050IND,05/01/2010,11119,2009-10
201001050PHI,05/01/2010,11822,2009-10
201001050NJN,05/01/2010,11101,2009-10
201001050DAL,05/01/2010,19799,2009-10
201001050DEN,05/01/2010,15129,2009-10
201001050POR,05/01/2010,20278,2009-10
201001050SAC,05/01/2010,13630,2009-10
201001050LAL,05/01/2010,18997,2009-10
201001060ATL,06/01/2010,11219,2009-10
201001060CLE,06/01/2010,20562,2009-10
201001060ORL,06/01/2010,17461,2009-10
201001060MIA,06/01/2010,19600,2009-10
201001060MIN,06/01/2010,12046,2009-10
201001060OKC,06/01/2010,17836,2009-10
201001060SAS,06/01/2010,17337,2009-10
201001060PHO,06/01/2010,15811,2009-10
201001060UTA,06/01/2010,19008,2009-10
201001060LAC,06/01/2010,19388,2009-10
201001070NYK,07/01/2010,19763,2009-10
201001080PHI,08/01/2010,15264,2009-10
201001080WAS,08/01/2010,20173,2009-10
201001080ATL,08/01/2010,15149,2009-10
201001080MEM,08/01/2010,14213,2009-10
201001080MIN,08/01/2010,13111,2009-10
201001080NOH,08/01/2010,15555,2009-10
201001080MIL,08/01/2010,18717,2009-10
201001080SAS,08/01/2010,18581,2009-10
201001080PHO,08/01/2010,18422,2009-10
201001080POR,08/01/2010,20629,2009-10
201001080DEN,08/01/2010,19996,2009-10
201001080GSW,08/01/2010,18327,2009-10
201001090CHA,09/01/2010,15438,2009-10
201001090ORL,09/01/2010,17461,2009-10
201001090DET,09/01/2010,19784,2009-10
201001090CHI,09/01/2010,20255,2009-10
201001090OKC,09/01/2010,18203,2009-10
201001090DAL,09/01/2010,19922,2009-10
201001090HOU,09/01/2010,15693,2009-10
201001090SAC,09/01/2010,14411,2009-10
201001100TOR,10/01/2010,19800,2009-10
201001100WAS,10/01/2010,14753,2009-10
201001100LAC,10/01/2010,19060,2009-10
201001100SAS,10/01/2010,18047,2009-10
201001100POR,10/01/2010,20614,2009-10
201001100LAL,10/01/2010,18997,2009-10
201001110IND,11/01/2010,11039,2009-10
201001110PHI,11/01/2010,11518,2009-10
201001110BOS,11/01/2010,18624,2009-10
201001110CHI,11/01/2010,21014,2009-10
201001110OKC,11/01/2010,17152,2009-10
201001110DEN,11/01/2010,14669,2009-10
201001110PHO,11/01/2010,15116,2009-10
201001110UTA,11/01/2010,19284,2009-10
201001110GSW,11/01/2010,19596,2009-10
201001120CHA,12/01/2010,11463,2009-10
201001120WAS,12/01/2010,13544,2009-10
201001120MEM,12/01/2010,11004,2009-10
201001120SAS,12/01/2010,18581,2009-10
201001120SAC,12/01/2010,14426,2009-10
201001130ATL,13/01/2010,9695,2009-10
201001130IND,13/01/2010,10858,2009-10
201001130PHI,13/01/2010,12444,2009-10
201001130NJN,13/01/2010,14112,2009-10
201001130NOH,13/01/2010,14348,2009-10
201001130OKC,13/01/2010,17886,2009-10
201001130DAL,13/01/2010,20491,2009-10
201001130HOU,13/01/2010,15175,2009-10
201001130DEN,13/01/2010,18475,2009-10
201001130POR,13/01/2010,20465,2009-10
201001130GSW,13/01/2010,17121,2009-10
201001140BOS,14/01/2010,18624,2009-10
201001140UTA,14/01/2010,19911,2009-10
201001150CHA,15/01/2010,15742,2009-10
201001150PHI,15/01/2010,16767,2009-10
201001150ATL,15/01/2010,17605,2009-10
201001150CHI,15/01/2010,20304,2009-10
201001150DET,15/01/2010,17446,2009-10
201001150MEM,15/01/2010,12812,2009-10
201001150NJN,15/01/2010,13656,2009-10
201001150NYK,15/01/2010,19763,2009-10
201001150DAL,15/01/2010,20064,2009-10
201001150HOU,15/01/2010,16720,2009-10
201001150GSW,15/01/2010,17455,2009-10
201001150LAL,15/01/2010,18997,2009-10
201001150POR,15/01/2010,20650,2009-10
201001160IND,16/01/2010,13376,2009-10
201001160CHA,16/01/2010,17574,2009-10
201001160WAS,16/01/2010,17242,2009-10
201001160DET,16/01/2010,19185,2009-10
201001160MEM,16/01/2010,14116,2009-10
201001160OKC,16/01/2010,18203,2009-10
201001160UTA,16/01/2010,19669,2009-10
201001160LAC,16/01/2010,19277,2009-10
201001170TOR,17/01/2010,19004,2009-10
201001170DEN,17/01/2010,19519,2009-10
201001180NYK,18/01/2010,19302,2009-10
201001180WAS,18/01/2010,12209,2009-10
201001180ATL,18/01/2010,14666,2009-10
201001180CHA,18/01/2010,13678,2009-10
201001180HOU,18/01/2010,17187,2009-10
201001180LAC,18/01/2010,14533,2009-10
201001180MIN,18/01/2010,14637,2009-10
201001180NOH,18/01/2010,16549,2009-10
201001180GSW,18/01/2010,19208,2009-10
201001180MEM,18/01/2010,18119,2009-10
201001180BOS,18/01/2010,18624,2009-10
201001180LAL,18/01/2010,18997,2009-10
201001190CLE,19/01/2010,20562,2009-10
201001190MIA,19/01/2010,14986,2009-10
201001200ATL,20/01/2010,14809,2009-10
201001200CHA,20/01/2010,14212,2009-10
201001200ORL,20/01/2010,17461,2009-10
201001200PHI,20/01/2010,12607,2009-10
201001200WAS,20/01/2010,13974,2009-10
201001200DET,20/01/2010,17375,2009-10
201001200MIL,20/01/2010,12724,2009-10
201001200MIN,20/01/2010,12995,2009-10
201001200NOH,20/01/2010,14238,2009-10
201001200PHO,20/01/2010,15963,2009-10
201001200SAS,20/01/2010,17584,2009-10
201001200GSW,20/01/2010,17223,2009-10
201001200LAC,20/01/2010,16794,2009-10
201001210CLE,21/01/2010,20562,2009-10
201001210DEN,21/01/2010,15343,2009-10
201001220ORL,22/01/2010,17461,2009-10
201001220PHI,22/01/2010,17647,2009-10
201001220TOR,22/01/2010,17819,2009-10
201001220WAS,22/01/2010,20173,2009-10
201001220ATL,22/01/2010,14701,2009-10
201001220BOS,22/01/2010,18624,2009-10
201001220DET,22/01/2010,15388,2009-10
201001220MEM,22/01/2010,12948,2009-10
201001220MIN,22/01/2010,17101,2009-10
201001220NYK,22/01/2010,19673,2009-10
201001220SAS,22/01/2010,18581,2009-10
201001220GSW,22/01/2010,17308,2009-10
201001220PHO,22/01/2010,18422,2009-10
201001230CHA,23/01/2010,19277,2009-10
201001230IND,23/01/2010,16074,2009-10
201001230CLE,23/01/2010,20562,2009-10
